y1
6.868
6.595
6.682
4.628
5.064
5.396
5.792
6.267
5.9
5.426
6.743
7.292
7.182
6.996
6.295
5.627
6.722
6.211
5.605
6.21
6.97
7.98
7.75
7.85
8.872
8.989
7.973
7.189
6.706
5.655
4.291
5.561
5.523
5.705
5.563
6.142
6.633
5.729
4.71
6.118
6.502
5.03
6.945
6.735
7.185
7.6
8.708
6.553
7.347
8.712
8.376
5.696
6.986
7.393
2.591
7.006
4.51
2.64
4.076
8.272
7.778
7.147
6.158
7.054
4.449
5.367
5.017
6.302
6.139
