"x1,1","x1,2","x1,3","x1,4","x2,1","x2,2","x2,3","x2,4"
8.18,27.652,7.4,7.549,7.062,24.87,4.8,9.5
7.062,24.87,4.8,9.5,8.133,25.232,2,10.573
8.133,25.232,2,10.573,8.958,25.72,2.4,11.167
8.958,25.72,2.4,11.167,8.61,26.086,2.8,11.231
8.61,26.086,2.8,11.231,9.027,27.652,3,10.546
9.027,27.652,3,10.546,9.027,27.395,3,9.895
9.027,27.395,3,9.895,9.525,28.992,3,9.796
9.525,28.992,3,9.796,9.774,30.395,3.6,9.339
9.774,30.395,3.6,9.339,10.174,30.689,5.8,9.974
10.174,30.689,5.8,9.974,10.407,31.305,9,10.09
10.407,31.305,9,10.09,9.347,28.472,7,8.666
9.347,28.472,7,8.666,8.666,29.048,14.4,7.035
